Gene.symbol,GSM738365,GSM738368,GSM738372,GSM738375,GSM738378,GSM738380
NA,9.98027,9.96365,9.96858,9.87811,10.0942,9.96349
Lamtor5,8.90907,8.97818,8.95996,8.79517,9.05723,9.1972
Atox1,7.44762,7.71321,7.4457700000000004,8.1167,7.87434,8.00202
Mrpl52,7.65963,7.66311,7.61836,8.09411,7.67713,7.58752
Mrpl52,7.76345,7.77718,7.79431,8.1632,7.7378,7.65352
Tmem234,9.32983,9.31001,9.26399,9.69665,9.25335,9.17491
Zc3h11a,11.6708,11.555,11.6104,11.184,11.6531,11.6165
Hnrnpul2,10.1043,10.0001,10.0697,9.97581,10.0241,10.1608
Sec22b,7.56434,7.61921,7.6182,7.57577,7.81187,7.87323
Ythdf1,9.32159,9.21025,9.16278,9.17167,9.23171,9.30263
Ube2r2,9.16085,9.29026,9.2939,9.6505,9.31763,9.39115
Itch,9.4002,9.3142,9.27835,8.98294,9.25898,9.3509
Wdr6,7.23151,7.2981,7.28895,7.59556,7.58161,7.41953
NA,11.4338,11.3475,11.3387,11.338,11.4246,11.2712
NA,8.01484,7.75499,7.58134,8.15589,7.98311,7.587
NA,10.2949,10.129,10.0902,9.38302,10.4252,9.8939800000000009
Elp2,6.49793,6.34446,6.26035,6.40108,6.41669,6.49498
Rbbp7,10.4437,10.2887,10.1958,10.085,10.3437,10.1983
Aldh3a2,5.93892,5.91825,5.92302,5.66811,6.07302,6.0068
Pnliprp1,2.24356,1.97924,2.19101,2.23422,2.37542,2.14105
Morf4l2,9.96683,10.1368,10.0053,9.73788,10.2023,10.027
Actg1,12.6966,12.6328,12.6114,12.5486,12.7275,12.5578
Armcx2,6.89294,6.84892,6.64988,5.79041,7.02215,6.78727
Sumo2,12.5939,12.627,12.6851,12.6877,12.701,12.6751
Sumo2,11.3648,11.4388,11.4762,11.0952,11.4854,11.575
Vps35,9.28768,9.37229,9.21479,9.10785,9.42648,9.68703
Vps35,4.9184,5.01171,4.8611,4.5916,5.51164,5.29405
Cct8,9.66197,9.68449,9.74396,8.83114,9.63504,9.65238
Pgc,2.57319,2.40297,2.59666,2.63489,2.36804,2.6074
Ganab,7.85371,7.76845,7.68036,8.27538,7.8375,7.69715
NA,6.75817,6.86808,6.62234,5.53301,6.05169,6.17047
NA,5.61508,5.9226,5.44933,4.42199,5.00713,5.03225
NA,4.72538,4.95033,4.74459,3.97158,3.90909,4.05645
Rnf34,7.08789,7.22264,7.05726,6.65066,6.87761,7.08468
Rbck1,7.68277,7.49363,7.55363,7.88684,7.28791,7.48876
Pnpo,5.54678,5.73477,5.15051,5.96531,6.03899,5.8051
Spin1,9.72734,9.63984,9.70022,9.44221,9.64885,9.70452
Spin1,7.38297,7.41795,7.38897,7.05984,7.80459,7.73872
Dazap2,11.1633,11.1399,11.1114,10.7467,11.1815,11.2703
NA,4.51289,4.61193,4.76771,5.05512,4.98086,4.70126
NA,3.26531,3.41656,3.05591,3.25671,3.26684,3.19922
Wbp11,8.85416,9.07001,9.03225,8.51025,8.96533,9.02248
Gja1,1.97125,1.9320600000000001,2.03807,1.85772,2.04138,2.19912
Gja1,2.03069,2.18976,2.11896,2.20844,2.31916,2.17493
Slc16a1,8.4627,8.15564,8.09446,9.17334,9.19365,8.61395
Cx3cl1,2.53917,2.77385,2.52578,2.36239,2.20427,2.49118
Cx3cl1,4.30363,4.5604,4.68847,4.6036,4.30517,4.52375
Clps,3.12823,3.03676,2.87349,3.14508,3.22555,3.07634
Plat,3.12989,3.16138,3.37279,3.11424,3.14728,3.03784
Srsf2,9.09617,9.12448,9.02735,8.03501,9.53404,9.23025
Tpbpa,2.13397,2.09073,2.25878,2.09581,2.31811,2.46812
Tpbpa,2.42448,2.43824,2.06095,2.23144,2.29243,2.40123
Uhrf1,4.30982,4.20475,3.85058,5.69239,5.60452,5.2584
Uhrf1,3.16713,3.3806,3.09723,4.04131,3.99331,3.64318
Gsn,6.0459,5.85884,5.93729,6.14865,6.81709,6.96779
Api5,9.01741,8.90301,8.90623,8.81433,9.0820900000000009,9.09012
Atp6v1b2,7.96119,7.97295,7.99067,8.07228,8.19914,8.44077
Trim27,3.03937,3.08696,3.1263,3.17008,2.86437,2.9519
Cct7,9.81644,9.76859,9.70093,9.6748,9.49894,9.59157
Cct7,9.59603,9.5328,9.54782,9.3299,9.35073,9.28393
Anxa6,5.0122,5.5187,5.62749,5.85213,5.18638,5.31506
Ppp2r1a,7.94294,7.81848,7.9108,7.72402,7.69525,7.55469
Nono,9.0086,9.03309,9.0513,9.03491,8.9142,9.04105
Nptn,9.4344,9.29799,9.31832,9.39095,9.7173,9.68871
NA,5.07099,5.35335,5.4816,6.21261,6.55203,6.40727
NA,3.11952,3.2407,3.2705,3.47934,3.53763,3.22586
NA,2.79024,2.70812,2.72037,2.9978,3.04331,3.00027
Slc38a10,8.66189,8.52589,8.51042,8.32657,8.48402,8.40956
Atp6v1h,7.82541,7.88649,7.79439,8.32468,8.29822,8.36357
NA,9.783,9.92455,9.84271,9.54228,10.2419,10.0584
NA,8.63305,8.83873,8.62249,9.12546,9.36938,9.10602
Lbr,10.687,10.4631,10.5405,10.2309,10.5646,10.5228
Orc5,6.55196,6.35629,6.51248,6.93832,6.37519,6.44331
Psmd2,8.62262,8.67528,8.60111,8.49489,8.99784,8.8388
Agtr2,2.17038,2.12309,2.26196,2.15992,1.9862,2.06298
Rps29,13.7828,13.7846,13.7872,13.7338,13.7569,13.7173
Dusp6,7.51533,7.80355,7.6425,7.76532,7.43989,7.14051
Prl3b1,2.70119,2.42259,2.22869,2.29692,2.4183500000000002,2.64615
Aldh18a1,4.89344,5.2862,4.85532,5.30697,5.39199,4.96132
Klk1,1.7773,2.20328,1.70996,1.75887,1.70893,1.82022
Serinc1,9.48507,9.27928,9.27802,8.5786,9.36392,9.13119
Npm1,11.6537,11.7639,11.745,11.4813,11.6235,11.4938
Elovl5,10.4259,10.5568,10.5563,10.9042,11.0105,10.7278
Dync1i2,8.95651,8.68779,8.83904,8.77479,8.77205,8.83546
Mlst8,5.8162,5.78285,5.70089,5.78343,5.66923,5.45124
Mlst8,3.5239,3.10262,2.81761,3.11128,3.51453,3.03915
Syt4,2.27496,1.94235,2.27614,2.03559,1.90473,2.04634
Syt4,2.2073,2.12238,2.16111,2.08841,2.06326,2.11763
