GeneName,control,treatment,log2FoldChange,padj
Idh1,5969.85103989054,8450.57879014751,-0.39088999999999996,0.0036174000000000002
Slc39a10,168.844156259023,81.2580153827548,1.1015000000000001,2.0711e-5
Fbxo30,447.166870814789,301.395360843991,0.65543,0.0049265
Ube2v2,137.365477520761,211.675708266048,-0.48873,0.034294
Nde1,191.310449188617,295.026827574051,-0.50638,0.0035379
Ppp4r2,1009.17903338873,737.673549064417,0.54596,0.0028131
C2cd5,77.1634452898757,115.903657000923,-0.46213000000000004,0.033819
Mtl5,107.659558101779,16.8243698599696,2.3721,7.7111e-9
Lrrc8d,518.078598063558,783.35697034002,-0.48438000000000003,6.6618e-4
Fam198a,10.3534314171036,266.957566715694,-4.1641,2.1175e-50
Npff,30.9632885173389,11.1233355750047,1.3124,0.0097295
Adam23,449.046501848081,250.794085865323,0.90128,0.0011531
Ttll8,81.671611511252,12.1845680507605,2.1955,1.1454e-5
Zfp354a,192.061233266998,88.0808854284275,1.1763000000000001,5.5902e-7
BC021767,5.8231314970956,31.168512279285,-1.4494,0.0057967
Dact2,338.514544850626,239.786934311642,0.58082,0.03073
Wdfy3,2990.79610018846,1765.43516537424,0.85288,1.1531e-11
Gtf3c5,77.1362107846104,173.671756952393,-1.0128,6.1491e-6
Irs1,779.790486216311,472.81980920252,0.79886,9.185e-4
Tmem26,19.0747999431652,61.1900425175242,-1.3480999999999999,3.1928e-4
Tpcn1,966.67274206587,1331.05323502666,-0.3549,6.4102e-4
Gm13855,1.28205322047767,19.7448778187764,-1.9463,2.9821e-4
BC017158,184.710695520196,270.283283848637,-0.43233,0.0048415
Gckr,2831.51542378995,3971.5785171324,-0.38205,9.108e-5
Arsa,271.082510677518,502.45685122177,-0.69543,0.034171
Mepce,852.648005048979,487.907956209491,0.8885799999999999,3.1806e-6
Galk1,1366.62786854119,751.207465148339,0.92745,2.9312e-4
Mgam,1867.72744298249,2908.13917881049,-0.52695,4.8479e-5
Arfgef1,2555.96054512404,1851.41907268203,0.56068,2.9123e-5
Klhl3,235.150135656342,132.789621658434,0.8852099999999999,8.2613e-4
Rpe,294.761086365436,475.348182669967,-0.5769,1.5575e-5
Mex3d,119.374195750977,44.5893657824659,1.4386,2.4496e-7
Slc22a15,151.146441590161,284.027691347448,-0.75587,0.001766
Tmie,202.636729559736,394.151421534219,-0.78968,0.0027385
Mef2d,1786.91676359954,866.903660319988,1.1208,1.929e-10
Exoc3,348.417833494637,579.083806659184,-0.6136400000000001,1.1012e-4
Raly,1142.78885871411,803.395737384747,0.60115,3.7613e-4
Usp36,658.374070415289,486.413899435573,0.52629,0.019024
Paip1,1289.6543014193,838.530538427097,0.7118099999999999,1.7517e-5
Ndufs3,1903.30798462893,1525.52719826484,0.41535,0.021676
Pak4,990.205762758689,727.914866291256,0.53668,0.0083506
Ip6k2,1606.04712826552,710.58503209723,1.2239,1.3717e-6
1010001N08Rik,75.6062542727945,31.2228544423405,1.2195,0.0026139
Fam120aos,215.095077647777,155.735686649003,0.55413,0.028889
Avpr1a,542.207073881348,1361.97730668222,-1.135,1.9969e-5
Bri3,1104.17035285197,646.928239413974,0.85393,1.6e-5
Klhl21,1879.88751485424,594.430330839644,1.7157,4.8848e-20
E130311K13Rik,33.1152651681113,104.217640874609,-1.4199,3.8914e-7
C2cd3,328.195999128566,246.034270949464,0.50828,0.040362
Zbtb49,52.6237515339896,90.3017607888927,-0.61717,0.025839
Tnfrsf12a,224.449244669405,104.648675795312,1.1554,1.477e-6
Clasp1,519.448851938096,361.104556600563,0.6163,0.0013784
Vps8,119.145298991438,204.466100365567,-0.65211,6.1135e-4
Vdac1,4321.47644074007,3303.79401313743,0.48353,9.945e-4
Ranbp3l,53.9596968602755,11.9024566167396,1.9856,7.1849e-7
Ankrd26,184.729125026239,127.046116492152,0.61617,0.035443
Brd8,285.207229922439,434.840116084208,-0.49372000000000005,0.0016219
Akap5,60.310393105155,31.010288147305,0.94258,0.043462
Usp32,969.907082354372,729.330042108612,0.50653,0.0040995
Acat3,1730.59611195491,2713.65474375423,-0.5384300000000001,4.2037e-6
Ero1lb,931.871186227338,1342.64072737865,-0.40854999999999997,0.017827
Crebzf,510.907346430902,791.532585098679,-0.5197700000000001,9.4575e-5
Osbpl5,195.71626675065,55.2893597796997,1.6661000000000001,5.5918e-5
Slc43a3,935.115822692561,582.248188157349,0.76399,2.5963e-4
Iqgap2,8612.17571547947,6515.87665177437,0.49631000000000003,0.0061537
Sh3glb1,1392.4903271651,811.693496812892,0.86665,2.6718e-9
Adprh,53.3212207340431,165.131282275866,-1.4174,7.2848e-8
Apoh,43333.0708359682,32748.3808605186,0.49889000000000006,0.0022043
Serpina12,8.55146431586112,425.805385495023,-2.2460999999999998,3.0989e-5
Arhgap26,127.287183738882,426.997456124389,-1.5688,1.1199e-14
Crls1,1273.19759232704,826.136066572709,0.70549,0.0016576
Col8a1,3.17279784015754,14.9040871906392,-1.2908,0.016294
Pigx,291.698045529454,177.78052437031,0.79662,3.019e-4
Dclk3,295.131833080242,129.983608501403,1.1744,0.0012674
Pgap1,662.131210358858,495.758172547212,0.50838,0.014712
Hbb-bt,1204.6552354299,438.620987733325,1.4306,2.6303e-5
Gbp11,27.9768509956924,94.3365030204422,-1.3448,0.0012086
Gm13657,7.96177940811374,22.445474993095,-0.9958000000000001,0.045892
Tmx2,417.386655740706,768.244851949575,-0.76343,1.8485e-8
Slc10a6,24.1193359115478,6.59987462771985,1.3824,0.020631
Fetub,11402.0964032682,7776.17905478105,0.6410899999999999,8.9516e-4
Suclg1,3440.37497026143,2625.39978156502,0.48327,0.013755
Fuz,89.1324835300557,173.016927114027,-0.81126,1.1121e-4
Itpr1,3150.81332124352,1517.87070980862,1.1382,4.8699e-16
Pgm3,81.8789513155017,192.219643711635,-1.0571,6.7252e-6
Snx22,11.632934254437,31.1056689706422,-1.0404,0.018641
Fam102b,112.317802534303,70.1928043112288,0.73803,0.023017
1600002H07Rik,718.079140156122,1458.43889641746,-0.86053,4.0249e-4
Pla2g12a,655.322143125351,202.894205925844,1.7315,1.7079e-15
Clip1,1907.2842128221,874.016859077424,1.1902000000000001,2.0975e-8
Mlxip,462.598569440356,319.078680739624,0.61836,0.012717
Snrpd3,512.088113142855,706.805078672124,-0.35682,0.001766
Eci2,3755.22008066176,1573.22485748018,1.3249000000000002,1.2431e-13
Dusp3,1204.68771829708,651.924067747874,0.96109,4.7444e-6
Tmem65,221.734817817874,140.348994961709,0.73268,0.0053876
Pex2,566.933034885049,794.320547769257,-0.37549999999999994,0.0061184
Npc1,4420.74140865735,1626.08899320778,1.5069000000000001,1.7282e-17
Vnn3,1833.60790612676,1164.89291756486,0.72641,0.0084844
D630039A03Rik,178.517151811864,322.998265634717,-0.71709,0.0011567
Prdm10,92.0605052860519,140.880625267208,-0.47813000000000005,0.036848
Mpv17,216.288930254539,297.226485897417,-0.34870999999999996,0.02084
Prpf31,118.129578406963,191.83847920955,-0.56818,0.0041454
Braf,799.02811632669,550.386551462346,0.63059,1.4672e-4
Slc41a2,212.748512180545,707.093202206815,-1.4690999999999999,1.1555e-6
Mogs,677.556077100521,962.057091506167,-0.39281,0.0070825
BC030307,36.4389606463248,69.1959024129997,-0.74265,0.010708
Cdip1,3276.99250855953,1600.90636537149,1.07885,1.2204e-4
Trrap,1805.52876055286,1264.30272583324,0.60749,1.6791e-4
Nhsl1,190.764697053528,294.608461799957,-0.49112,0.026699
Primpol,45.4970101031966,81.4714262875642,-0.67384,0.02494
Zxdc,483.198801872392,307.284127190014,0.7404999999999999,2.0169e-4
Tob2,1549.3746416727,945.62291286352,0.78943,8.0768e-4
Tor2a,442.903480153091,347.12175706015,0.44364000000000003,0.043945
Slc35g1,1389.639150237,721.079792716255,0.98896,0.0015851
Tspan14,412.131076017554,596.186670756297,-0.42299,0.0010161
Hsd3b3,1096.06508455408,2405.47641049763,-0.9652,7.5985e-5
Drg2,408.066797549744,516.69726883842,-0.23566,0.034924
Thap4,172.741080415639,93.4061717234306,0.94845,0.0010598
Mxd1,208.085744693352,124.769852408193,0.7912,0.017781
Tbc1d32,102.055121831645,183.214348088609,-0.6906,0.0054504
Ndufaf1,269.647586663321,465.182509648155,-0.67127,4.8331e-7
Slc22a1,3950.96507418448,5528.58078637475,-0.36812,0.037719
Gsta2,1853.08420699533,430.898678161009,2.0726,4.6622e-14
Gm11695,38.8876320489895,11.2824961717255,1.3646,0.019655
Krtcap2,404.95241466834,685.362417845675,-0.63503,1.8004e-4
Ergic1,795.984900440796,1419.93605426367,-0.7102200000000001,1.2688e-5
Coil,51.427925690874,82.8938547394066,-0.5433100000000001,0.043321
Wars,212.14097519596,360.92621703977,-0.64863,1.7493e-5
Pex10,80.5461335191515,121.444832982209,-0.46606000000000003,0.028197
Itpka,41.9818535401834,12.062314920419,1.5665,0.001275
Scyl2,955.126370015125,662.800465025626,0.6167,0.001334
